LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural
liegen_in,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,range,domain,,dbo:timeZone,dbo:Town,xsd:string,feminine,Stadt,St„dte,-,-,-
liegen_in,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,range,domain,,dbp:timezone,dbo:City,xsd:string,feminine,Stadt,St„dte,-,-,-
