"binding","objOfProp","label"
"http://dbpedia.org/resource/Holland's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Africa's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Euphoria_(American_TV_series)","http://dbpedia.org/resource/Sam_Levinson","Sam Levinson"
"http://dbpedia.org/resource/Hrvatski_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Peru's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/The_Oval_(TV_series)","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/Oh!_Those_Bells","http://dbpedia.org/resource/Jules_White","Jules White"
"http://dbpedia.org/resource/The_Haves_and_the_Have_Nots_(TV_series)","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/Too_Close_to_Home_(TV_series)","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/Too_Many_Cooks_(short)","http://dbpedia.org/resource/Casper_Kelly","Casper Kelly"
"http://dbpedia.org/resource/For_Better_or_Worse_(TV_series)","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/London_Spy","http://dbpedia.org/resource/Tom_Rob_Smith","Tom Rob Smith"
"http://dbpedia.org/resource/Sick_of_It_(TV_series)","http://dbpedia.org/resource/Karl_Pilkington","Karl Pilkington"
"http://dbpedia.org/resource/Sistas_(TV_series)","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/If_Loving_You_Is_Wrong","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/Tyler_Perry's_House_of_Payne","http://dbpedia.org/resource/Tyler_Perry","Tyler Perry"
"http://dbpedia.org/resource/MotherFatherSon","http://dbpedia.org/resource/Tom_Rob_Smith","Tom Rob Smith"
"http://dbpedia.org/resource/The_Ricky_Gervais_Show_(TV_series)","http://dbpedia.org/resource/Karl_Pilkington","Karl Pilkington"
"http://dbpedia.org/resource/Stroker_&_Hoop","http://dbpedia.org/resource/Casper_Kelly","Casper Kelly"
"http://dbpedia.org/resource/Majisuka_Gakuen","http://dbpedia.org/resource/AKB48","AKB48"
"http://dbpedia.org/resource/Babylon_(TV_series)","http://dbpedia.org/resource/Sam_Bain","Sam Bain"
"http://dbpedia.org/resource/Peep_Show_(British_TV_series)","http://dbpedia.org/resource/Sam_Bain","Sam Bain"
"http://dbpedia.org/resource/The_Old_Guys","http://dbpedia.org/resource/Sam_Bain","Sam Bain"
"http://dbpedia.org/resource/Mandrake_(TV_series)","http://dbpedia.org/resource/Rubem_Fonseca","Rubem Fonseca"
"http://dbpedia.org/resource/Fresh_Meat_(TV_series)","http://dbpedia.org/resource/Sam_Bain","Sam Bain"
"http://dbpedia.org/resource/Island_City_(1994_film)","http://dbpedia.org/resource/Jonathan_Glassner","Jonathan Glassner"
"http://dbpedia.org/resource/Philippines'_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Korea's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Colombia's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Eesti_tippmodell","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Top_Model_(French_TV_series)","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Top_Model_(Polish_TV_series)","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Top_Model_(Scandinavian_TV_series)","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Top_Model_po-russki","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Top_Model_Norge","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/The_Tyra_Banks_Show","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Ty_-_supermodel","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Greece's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Stargate_SG-1","http://dbpedia.org/resource/Jonathan_Glassner","Jonathan Glassner"
"http://dbpedia.org/resource/Germany's_Next_Topmodel","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/HaDugmaniot","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Slovenski_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Switzerland's_Next_Topmodel","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Tandav_(TV_series)","http://dbpedia.org/resource/Ali_Abbas_Zafar","Ali Abbas Zafar"
"http://dbpedia.org/resource/Top_Model_Sverige","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Ill_Behaviour_(TV_series)","http://dbpedia.org/resource/Sam_Bain","Sam Bain"
"http://dbpedia.org/resource/India's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Modelville","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/New_Zealand's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Next_Top_Model_(Romanian_TV_series)","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Nigeria's_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Cambodia's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Caribbean's_Next_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Srpski_Top_Model","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Suomen_huippumalli_haussa","http://dbpedia.org/resource/Tyra_Banks","Tyra Banks"
"http://dbpedia.org/resource/Location,_Location,_Location","http://dbpedia.org/resource/Channel_4","Channel 4"
"http://dbpedia.org/resource/Sagwa,_the_Chinese_Siamese_Cat","http://dbpedia.org/resource/Amy_Tan","Amy Tan"
"http://dbpedia.org/resource/Strangers_with_Candy","http://dbpedia.org/resource/Amy_Sedaris","Amy Sedaris"
"http://dbpedia.org/resource/Russian_Doll_(TV_series)","http://dbpedia.org/resource/Amy_Poehler","Amy Poehler"
"http://dbpedia.org/resource/Bytva_ekstrasensiv","http://dbpedia.org/resource/Channel_5_(British_TV_channel)","Channel 5"
"http://dbpedia.org/resource/The_Queen's_Gambit_(miniseries)","http://dbpedia.org/resource/Allan_Scott_(Scottish_screenwriter)","Allan Scott (sceneggiatore)"
"http://dbpedia.org/resource/The_Addams_Family_(1973_TV_series)","http://dbpedia.org/resource/Charles_Addams","Charles Addams"
"http://dbpedia.org/resource/Queen_Sugar","http://dbpedia.org/resource/Ava_DuVernay","Ava DuVernay"
"http://dbpedia.org/resource/The_Girlfriend_Experience_(TV_series)","http://dbpedia.org/resource/Amy_Seimetz","Amy Seimetz"
"http://dbpedia.org/resource/ABU_TV_Song_Festival","http://dbpedia.org/resource/Asia-Pacific_Broadcasting_Union","Asia-Pacific Broadcasting Union"
"http://dbpedia.org/resource/A_State_of_Trance","http://dbpedia.org/resource/Armin_van_Buuren","Armin van Buuren"
"http://dbpedia.org/resource/Being:_Liverpool","http://dbpedia.org/resource/Channel_5_(British_TV_channel)","Channel 5"
"http://dbpedia.org/resource/Exit_57","http://dbpedia.org/resource/Amy_Sedaris","Amy Sedaris"
"http://dbpedia.org/resource/Sherlock_in_Russia","http://dbpedia.org/resource/Arthur_Conan_Doyle","Arthur Conan Doyle"
"http://dbpedia.org/resource/Astra_Force","http://dbpedia.org/resource/Amitabh_Bachchan","Amitabh Bachchan"
"http://dbpedia.org/resource/At_Home_with_Amy_Sedaris","http://dbpedia.org/resource/Amy_Sedaris","Amy Sedaris"
"http://dbpedia.org/resource/Long_Way_to_the_Top","http://dbpedia.org/resource/Australian_Broadcasting_Corporation","Australian Broadcasting Corporation"
"http://dbpedia.org/resource/OK!_TV","http://dbpedia.org/resource/Channel_5_(British_TV_channel)","Channel 5"
"http://dbpedia.org/resource/El_Número_Uno_(Salvadoran_TV_series)","http://dbpedia.org/resource/Antena_3_(Spanish_TV_channel)","Antena 3"
"http://dbpedia.org/resource/Trick_or_Treat_(TV_series)","http://dbpedia.org/resource/Channel_4","Channel 4"
"http://dbpedia.org/resource/Samantha_Who%3F","http://dbpedia.org/resource/Cecelia_Ahern","Cecelia Ahern"
"http://dbpedia.org/resource/Clueless_(TV_series)","http://dbpedia.org/resource/Amy_Heckerling","Amy Heckerling"
"http://dbpedia.org/resource/Professor_Challenger","http://dbpedia.org/resource/Arthur_Conan_Doyle","Arthur Conan Doyle"
"http://dbpedia.org/resource/Cherish_the_Day_(TV_series)","http://dbpedia.org/resource/Ava_DuVernay","Ava DuVernay"
"http://dbpedia.org/resource/Sherlock_Holmes_(2013_TV_series)","http://dbpedia.org/resource/Arthur_Conan_Doyle","Arthur Conan Doyle"
"http://dbpedia.org/resource/Sputnik_(TV_programme)","http://dbpedia.org/resource/Associated_Press","Associated Press"
"http://dbpedia.org/resource/The_Mighty_B!","http://dbpedia.org/resource/Amy_Poehler","Amy Poehler"
"http://dbpedia.org/resource/Gay_Muslims","http://dbpedia.org/resource/Channel_4","Channel 4"
"http://dbpedia.org/resource/¡Ay,_Señor,_Señor!","http://dbpedia.org/resource/Antena_3_(Spanish_TV_channel)","Antena 3"
"http://dbpedia.org/resource/In_Therapy","http://dbpedia.org/resource/Channel_5_(British_TV_channel)","Channel 5"
"http://dbpedia.org/resource/Inside_Amy_Schumer","http://dbpedia.org/resource/Amy_Schumer","Amy Schumer"
"http://dbpedia.org/resource/Submissions_Only","http://dbpedia.org/resource/Andrew_Keenan-Bolger","Andrew Keenan-Bolger"
"http://dbpedia.org/resource/Majisuka_Gakuen","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Better_Things_(TV_series)","http://dbpedia.org/resource/Pamela_Adlon","Pamela Adlon"
"http://dbpedia.org/resource/The_Bisexual","http://dbpedia.org/resource/Desiree_Akhavan","Desiree Akhavan"
"http://dbpedia.org/resource/The_Game_(American_TV_series)","http://dbpedia.org/resource/Mara_Brock_Akil","Mara Brock Akil"
"http://dbpedia.org/resource/The_Mo'Nique_Show","http://dbpedia.org/resource/Mo'Nique","Mo'Nique"
"http://dbpedia.org/resource/Tommy_e_Oscar","http://dbpedia.org/resource/Max_Alessandrini","Max Alessandrini"
"http://dbpedia.org/resource/TuttoTotò","http://dbpedia.org/resource/Mario_Amendola","Mario Amendola"
"http://dbpedia.org/resource/NogiBingo!","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/AKB48_Fes_2016","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/AKB48_Show!","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/AKBingo!","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Campion_(1989_TV_series)","http://dbpedia.org/resource/Margery_Allingham","Margery Allingham"
"http://dbpedia.org/resource/Being_Mary_Jane","http://dbpedia.org/resource/Mara_Brock_Akil","Mara Brock Akil"
"http://dbpedia.org/resource/Crow's_Blood","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Saba_Doru","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Love_Is_(TV_series)","http://dbpedia.org/resource/Mara_Brock_Akil","Mara Brock Akil"
"http://dbpedia.org/resource/Fox_News_Sunday","http://dbpedia.org/resource/Roger_Ailes","Roger Ailes"
"http://dbpedia.org/resource/Gabriela_(1975_TV_series)","http://dbpedia.org/resource/Jorge_Amado","Jorge Amado"
"http://dbpedia.org/resource/Gabriela_(2012_TV_series)","http://dbpedia.org/resource/Jorge_Amado","Jorge Amado"
"http://dbpedia.org/resource/Girlfriends_(2000_TV_series)","http://dbpedia.org/resource/Mara_Brock_Akil","Mara Brock Akil"
"http://dbpedia.org/resource/Kyabasuka_Gakuen","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/The_Pink_Panther_(TV_series)","http://dbpedia.org/resource/The_Ant_and_the_Aardvark","The Ant and the Aardvark"
"http://dbpedia.org/resource/Hinatazaka_de_Aimashō","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Soko_Magattara,_Sakurazaka%3F","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/I_for_India_(concert)","http://dbpedia.org/resource/Zoya_Akhtar","Zoya Akhtar"
"http://dbpedia.org/resource/Imposters_(TV_series)","http://dbpedia.org/resource/Paul_Adelstein","Paul Adelstein"
"http://dbpedia.org/resource/KeyaBingo!","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Keyakitte,_Kakenai%3F","http://dbpedia.org/resource/Yasushi_Akimoto","Yasushi Akimoto"
"http://dbpedia.org/resource/Mo'Nique's_Fat_Chance","http://dbpedia.org/resource/Mo'Nique","Mo'Nique"
