"binding","label"
"http://dbpedia.org/resource/Scrubs_(season_3)","Episodi di Scrubs - Medici ai primi ferri (terza stagione)"
"http://dbpedia.org/resource/Sheep_in_the_Big_City","Ovino va in città"
"http://dbpedia.org/resource/Side_Order_of_Life","Side Order of Life"
"http://dbpedia.org/resource/Skyrunners","Skyrunners"
"http://dbpedia.org/resource/Sports_Night","Sports Night"
"http://dbpedia.org/resource/TaleSpin","TaleSpin"
"http://dbpedia.org/resource/The_Adventures_of_Teddy_Ruxpin","Le avventure di Teddy Ruxpin"
"http://dbpedia.org/resource/The_Big_Lightning","Il grande fulmine"
"http://dbpedia.org/resource/The_Byrds_of_Paradise","The Byrds of Paradise"
"http://dbpedia.org/resource/The_Deliberate_Stranger","Il mostro (miniserie televisiva)"
"http://dbpedia.org/resource/The_Jack_Benny_Program","The Jack Benny Program"
"http://dbpedia.org/resource/The_Lawless_Years","The Lawless Years"
"http://dbpedia.org/resource/The_Lazarus_Man","Lazarus Man"
"http://dbpedia.org/resource/The_Rutles_2:_Can't_Buy_Me_Lunch","The Rutles 2: Can't Buy Me Lunch"
"http://dbpedia.org/resource/The_Secret_World_of_Alex_Mack","Il mondo segreto di Alex Mack"
"http://dbpedia.org/resource/This_Is_England_'86","This Is England '86"
"http://dbpedia.org/resource/Three's_Company","Tre cuori in affitto"
"http://dbpedia.org/resource/Timon_&_Pumbaa_(TV_series)","Timon e Pumbaa (serie animata)"
"http://dbpedia.org/resource/Watch_Over_Me","Watch Over Me"
"http://dbpedia.org/resource/Wiener_Kammeroper","Wiener Kammeroper"
"http://dbpedia.org/resource/Zhenitba","Il matrimonio (opera)"
"http://dbpedia.org/resource/Astro_City","Astro City"
"http://dbpedia.org/resource/Atlanta_prison_riots","Rivolta carceraria di Atlanta"
"http://dbpedia.org/resource/Atlantic_Crossing_(TV_series)","Atlantic Crossing (serie televisiva)"
"http://dbpedia.org/resource/Atomic_Robo","Atomic Robo"
"http://dbpedia.org/resource/Attack_on_Tomorrow","Mimì e le ragazze della pallavolo"
"http://dbpedia.org/resource/Attic_calendar","Calendario attico"
"http://dbpedia.org/resource/Canon_EF-S_55–250mm_lens","Canon EF-S 55-250mm"
"http://dbpedia.org/resource/Canon_PowerShot_G","Canon PowerShot G"
"http://dbpedia.org/resource/Canonet","Canonet"
"http://dbpedia.org/resource/Capitulary","Capitolare"
"http://dbpedia.org/resource/Case_Closed_discography","Colonne sonore di Detective Conan"
"http://dbpedia.org/resource/Caster_Chronicles","The Caster Chronicles"
"http://dbpedia.org/resource/Two-Fisted_Tales_(film)","Incubi (film)"
"http://dbpedia.org/resource/Two_(TV_series)","Two (serie televisiva)"
"http://dbpedia.org/resource/Two_Against_Time","Two Against Time"
"http://dbpedia.org/resource/Two_Cops_(TV_series)","Two Cops (drama coreano)"
"http://dbpedia.org/resource/Two_Mothers_for_Zachary","Due madri per Zachary"
"http://dbpedia.org/resource/Two_Outs_in_the_Ninth_Inning","9hoemal 2 out"
"http://dbpedia.org/resource/Two_Pints_of_Lager_and_a_Packet_of_Crisps","Birra e patatine"
"http://dbpedia.org/resource/Two_and_a_Half_Men","Due uomini e mezzo"
"http://dbpedia.org/resource/Two_of_a_Kind_(American_TV_series)","Due gemelle e una tata"
"http://dbpedia.org/resource/Tyler_Perry's_Young_Dylan","Tyler Perry's Young Dylan"
"http://dbpedia.org/resource/Türkisch_für_Anfänger","Kebab for Breakfast"
"http://dbpedia.org/resource/Tōjinbō","Tōjinbō"
"http://dbpedia.org/resource/U-Prince_Series","U-Prince Series"
"http://dbpedia.org/resource/UCI_ProTour","UCI ProTour"
"http://dbpedia.org/resource/UEFA_Euro_1992_qualifying","Qualificazioni al campionato europeo di calcio 1992"
"http://dbpedia.org/resource/UEFA_Euro_2012_qualifying","Qualificazioni al campionato europeo di calcio 2012"
"http://dbpedia.org/resource/Ugly_Delicious","Ugly Delicious"
"http://dbpedia.org/resource/Ugly_Duckling_(TV_series)","Ugly Duckling - Luk pet khire"
"http://dbpedia.org/resource/Ultimate_Spider-Man_(TV_series)","Ultimate Spider-Man (serie animata)"
"http://dbpedia.org/resource/Ultra_Maniac","Streghe per amore"
"http://dbpedia.org/resource/Ultra_Q","Ultra Q"
