LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,domain_written_singular,range_written_singular,range_written_plural,,,,,,,,,,
editor_of_7,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Agent,dbo:Agent,masculine,Agent,Agenten,masculine,Agent,Agenten,"Was (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},FALSE,FALSE,"Gib mir die (dbo:Agent, X) Herausgeber von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:editor ?X.}
editor_of_8,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Agent,dbo:Agent,masculine,Agent,Agenten,masculine,Agent,Agenten,"Was (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},FALSE,FALSE,"Gib mir die (dbo:Agent, X) Herausgeber von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:editor ?X.}
children_of_1_m,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen,"Was (dbo:Person, X) ist die Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"Gib mir die (dbo:Person, X) Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:Person,Y) ",SELECT ?X WHERE { Y dbo:child ?X.}
children_of_2_f,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine,Person,Personen,feminine,Person,Personen,"Was (dbo:Person, X) ist die Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"Gib mir die (dbo:Person, X) Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:Person,Y) ",SELECT ?X WHERE { Y dbo:child ?X.}
children_of_2,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Politician,dbo:Person,masculine,Politiker,Politiker,feminine,Person,Personen,"Was (dbo:Person, X) ist die Kind von (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:Politician,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"Gib mir die (dbo:Person, X) Kind von (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:Politician,Y) ",SELECT ?X WHERE { Y dbo:child ?X.}
children_of_3,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Agent,dbo:Person,masculine,Agent,Agenten,feminine,Person,Personen,"Was (dbo:Person, X) ist die Kind von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:Agent,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"Gib mir die (dbo:Person, X) Kind von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:child ?X.}
children_of_4,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:OfficeHolder,dbo:Person,masculine,Amtsinhaber,Amtsinhaber,feminine,Person,Personen,"Was (dbo:Person, X) ist die Kind von (dbo:OfficeHolder,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:OfficeHolder,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:OfficeHolder,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"Gib mir die (dbo:Person, X) Kind von (dbo:OfficeHolder,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:OfficeHolder,Y) ",SELECT ?X WHERE { Y dbo:child ?X.}
member_of_1,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitgliederes,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Person,neuter,Band,Bande,feminine,Person,Personen,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Band,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_2,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitgliederes,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:Person,feminine,Organisation,Organisation,feminine,Person,Personen,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Organisation,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_3,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:Person,masculine,Agent,Agenten,feminine,Person,Personen,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Agent,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
