LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,range_article,domain_written_singular,range_written_singular,,,,,,,,,,,,,,,,,,
population_of_3,noun,feminine,Gesamteinwohnerzahl,-,Gesamteinwohnerzahl,Gesamteinwohnerzahl,Gesamteinwohnerzahl,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Settlement,xsd:double,feminine,Siedlung,,feminine,Zahl,,"Was (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:Settlement,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:populationTotal ?X.},"Welche (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:Settlement,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:populationTotal ?X.},FALSE,FALSE,,"Gib mir die (xsd:double, X) Gesamteinwohnerzahl von (dbo:Settlement,Y?) ",,SELECT ?X WHERE { Y dbo:populationTotal ?X.},"die Gesamteinwohnerzahl von (dbo:Settlement,Y) ",,SELECT ?X WHERE { Y dbo:populationTotal ?X.},
location_of_1,noun,neuter,Land,LÑnder,Land,Land,Landes,in,NounPPFrame,range,domain,1,locatedInArea,dbo:Location,dbo:Place,,,,,,,"Was (dbo:Place, X) ist die Land in (dbo:Location,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},"Welche (dbo:Place, X) ist die Land in (dbo:Location,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},FALSE,FALSE,,"Gib mir die (dbo:Place, X) Land in (dbo:Location,Y?) ",,SELECT ?X WHERE { Y locatedInArea ?X.},"die Land in (dbo:Location,Y) ",,SELECT ?X WHERE { Y locatedInArea ?X.},
location_of_2,noun,neuter,Land,LÑnder,Land,Land,Landes,in,NounPPFrame,range,domain,1,locatedInArea,dbo:Mountain,dbo:Place,,,,,,,"Was (dbo:Place, X) ist die Land in (dbo:Mountain,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},"Welche (dbo:Place, X) ist die Land in (dbo:Mountain,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},FALSE,FALSE,,"Gib mir die (dbo:Place, X) Land in (dbo:Mountain,Y?) ",,SELECT ?X WHERE { Y locatedInArea ?X.},"die Land in (dbo:Mountain,Y) ",,SELECT ?X WHERE { Y locatedInArea ?X.},
location_of_3,noun,neuter,Land,LÑnder,Land,Land,Landes,in,NounPPFrame,range,domain,1,locatedInArea,dbo:NaturalPlace,dbo:Place,,,,,,,"Was (dbo:Place, X) ist die Land in (dbo:NaturalPlace,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},"Welche (dbo:Place, X) ist die Land in (dbo:NaturalPlace,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},FALSE,FALSE,,"Gib mir die (dbo:Place, X) Land in (dbo:NaturalPlace,Y?) ",,SELECT ?X WHERE { Y locatedInArea ?X.},"die Land in (dbo:NaturalPlace,Y) ",,SELECT ?X WHERE { Y locatedInArea ?X.},
location_of_4,noun,neuter,Land,LÑnder,Land,Land,Landes,in,NounPPFrame,range,domain,1,locatedInArea,dbo:Place,dbo:Place,,,,,,,"Was (dbo:Place, X) ist die Land in (dbo:Place,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},"Welche (dbo:Place, X) ist die Land in (dbo:Place,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y locatedInArea ?X.},FALSE,FALSE,,"Gib mir die (dbo:Place, X) Land in (dbo:Place,Y?) ",,SELECT ?X WHERE { Y locatedInArea ?X.},"die Land in (dbo:Place,Y) ",,SELECT ?X WHERE { Y locatedInArea ?X.},
editor_of_1,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:WrittenWork,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Herausgeber von (dbo:WrittenWork,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Person, X) ist die Herausgeber von (dbo:WrittenWork,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Herausgeber von (dbo:WrittenWork,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},,"Gib mir die (dbo:Person, X) Herausgeber von (dbo:WrittenWork,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:WrittenWork,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_2,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Person,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Herausgeber von (dbo:Person,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Person, X) ist die Herausgeber von (dbo:Person,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Herausgeber von (dbo:Person,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},,"Gib mir die (dbo:Person, X) Herausgeber von (dbo:Person,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Person,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_3,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Person,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Herausgeber von (dbo:Person,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Person, X) ist die Herausgeber von (dbo:Person,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Herausgeber von (dbo:Person,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},,"Gib mir die (dbo:Person, X) Herausgeber von (dbo:Person,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Person,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_4,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Person,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Herausgeber von (dbo:Person,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Person, X) ist die Herausgeber von (dbo:Person,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Herausgeber von (dbo:Person,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},,"Gib mir die (dbo:Person, X) Herausgeber von (dbo:Person,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Person,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_5,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Agent,dbo:Agent,,,,,,,"Was (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},FALSE,FALSE,,"Gib mir die (dbo:Agent, X) Herausgeber von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_6,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Agent,dbo:Agent,,,,,,,"Was (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},FALSE,FALSE,,"Gib mir die (dbo:Agent, X) Herausgeber von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_7,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Agent,dbo:Agent,,,,,,,"Was (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},FALSE,FALSE,,"Gib mir die (dbo:Agent, X) Herausgeber von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
editor_of_8,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:Agent,dbo:Agent,,,,,,,"Was (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Agent, X) ist die Herausgeber von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:editor ?X.},FALSE,FALSE,,"Gib mir die (dbo:Agent, X) Herausgeber von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:editor ?X.},
children_of_1_m,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,,,masculine,Person,Person,,,,,,,,,,,,,,,,
children_of_2_f,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine,,,feminine,Person,Person,,,,,,,,,,,,,,,,
children_of_2,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:olitician,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Kind von (dbo:olitician,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:olitician,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:olitician,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},,"Gib mir die (dbo:Person, X) Kind von (dbo:olitician,Y?) ",,SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:olitician,Y) ",,SELECT ?X WHERE { Y dbo:child ?X.},
children_of_3,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Agent,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Kind von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:Agent,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},,"Gib mir die (dbo:Person, X) Kind von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:child ?X.},
children_of_4,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:OfficeHolder,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Kind von (dbo:OfficeHolder,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:OfficeHolder,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:OfficeHolder,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},,"Gib mir die (dbo:Person, X) Kind von (dbo:OfficeHolder,Y?) ",,SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:OfficeHolder,Y) ",,SELECT ?X WHERE { Y dbo:child ?X.},
member_of_1,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitgliederes,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Band,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},,"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Band,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_2,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitgliederes,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Organisation,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},,"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Organisation,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_3,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Agent,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},,"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:Person,,,,,,,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Group,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Group,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Group,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},,"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Group,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Artist,,,,,,,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Band,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:Artist,,,,,,,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Organisation,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:Artist,,,,,,,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:Artist,,,,,,,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Group,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist,,,,,,,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Band,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:MusicalArtist,,,,,,,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Organisation,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:MusicalArtist,,,,,,,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Agent,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:MusicalArtist,,,,,,,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Group,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Agent,,,,,,,"Was (dbo:Agent, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Agent, X) ist die Bandmitglieder von (dbo:Band,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,,"Gib mir die (dbo:Agent, X) Bandmitglieder von (dbo:Band,Y?) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",,SELECT ?X WHERE { Y dbo:bandMember ?X.},
