LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,range_article,domain_written_singular,range_written_singular,,,,,,,,,,,,,,,,,,
mayor-of-7,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:Place,dbo:Person,dbo:Person,masculine,,masculine,Lage,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:Place,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:Place,Y?) (X dbo:leaderName Y)",SELECT ?X WHERE { Y dbo:leaderName ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:Place,Y?) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},"die BÅrgermeister von (dbo:Place,Y) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},no result return by sparql so excluded from questions
mayor-of-8,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:Location,dbo:Person,dbo:Person,masculine,,feminine,Lage,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:Location,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:Location,Y?) (X dbo:leaderName Y)",SELECT ?X WHERE { Y dbo:leaderName ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:Location,Y?) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},"die BÅrgermeister von (dbo:Location,Y) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},
mayor-of-9,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:PopulatedPlace,dbo:Person,dbo:Person,masculine,,masculine,Bevîlkerter Ort,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:PopulatedPlace,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:PopulatedPlace,Y?) (X dbo:leaderName Y)",SELECT ?X WHERE { Y dbo:leaderName ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:PopulatedPlace,Y?) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},"die BÅrgermeister von (dbo:PopulatedPlace,Y) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},
mayor-of-10,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:Settlement,dbo:Person,dbo:Person,masculine,,feminine,Siedlung,,Person,interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche (dbo:Person, X) ist die BÅrgermeister von (dbo:Settlement,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:leaderName ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article BÅrgermeister von (dbo:Settlement,Y?) (X dbo:leaderName Y)",SELECT ?X WHERE { Y dbo:leaderName ?X.},,"Gib mir die (dbo:Person, X) BÅrgermeister von (dbo:Settlement,Y?) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},"die BÅrgermeister von (dbo:Settlement,Y) ",,SELECT ?X WHERE { Y dbo:leaderName ?X.},
height_of_1,noun,feminine,Hîhe,-,Hîhe,Hîhe,Hîhe,von,NounPPFrame,range,domain,1,dbo:height,dbo:Lighthouse,xsd:integer,masculine,Leuchtturm,,feminine,Zahl,,"Was (xsd:integer, X) ist die Hîhe von (dbo:Lighthouse,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:height ?X.},"Welche (xsd:integer, X) ist die Hîhe von (dbo:Lighthouse,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:height ?X.},FALSE,FALSE,,"Gib mir die (xsd:integer, X) Hîhe von (dbo:Lighthouse,Y?) ",,SELECT ?X WHERE { Y dbo:height ?X.},"die Hîhe von (dbo:Lighthouse,Y) ",,SELECT ?X WHERE { Y dbo:height ?X.},
height_of_2,noun,feminine,Hîhe,-,Hîhe,Hîhe,Hîhe,von,NounPPFrame,range,domain,2,dbo:height,dbo:Tower,xsd:integer,masculine,Turm,,feminine,Zahl,,"Was (xsd:integer, X) ist die Hîhe von (dbo:Tower,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:height ?X.},"Welche (xsd:integer, X) ist die Hîhe von (dbo:Tower,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:height ?X.},FALSE,FALSE,,"Gib mir die (xsd:integer, X) Hîhe von (dbo:Tower,Y?) ",,SELECT ?X WHERE { Y dbo:height ?X.},"die Hîhe von (dbo:Tower,Y) ",,SELECT ?X WHERE { Y dbo:height ?X.},
height_of_3,noun,feminine,Hîhe,-,Hîhe,Hîhe,Hîhe,von,NounPPFrame,range,domain,3,dbo:height,dbo:ArchitecturalStructure,xsd:integer,feminine,Architektonische Struktur,,feminine,Zahl,,"Was (xsd:integer, X) ist die Hîhe von (dbo:ArchitecturalStructure,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:height ?X.},"Welche (xsd:integer, X) ist die Hîhe von (dbo:ArchitecturalStructure,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:height ?X.},FALSE,FALSE,,"Gib mir die (xsd:integer, X) Hîhe von (dbo:ArchitecturalStructure,Y?) ",,SELECT ?X WHERE { Y dbo:height ?X.},"die Hîhe von (dbo:ArchitecturalStructure,Y) ",,SELECT ?X WHERE { Y dbo:height ?X.},
official_language_1,noun,feminine,Amtssprache,Amtssprachen,Amtssprache,Amtssprache,Amtssprache,von,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,neuter,Land,,feminine,Sprache,,"Was (dbo:Language, X) ist die Amtssprache von (dbo:Country,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:officialLanguage ?X.},"Welche (dbo:Language, X) ist die Amtssprache von (dbo:Country,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:officialLanguage ?X.},FALSE,FALSE,,"Gib mir die (dbo:Language, X) Amtssprache von (dbo:Country,Y?) ",,SELECT ?X WHERE { Y dbo:officialLanguage ?X.},"die Amtssprache von (dbo:Country,Y) ",,SELECT ?X WHERE { Y dbo:officialLanguage ?X.},fail for matching problem
population_of_1,noun,feminine,Gesamteinwohnerzahl,-,Gesamteinwohnerzahl,Gesamteinwohnerzahl,Gesamteinwohnerzahl,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Location,xsd:double,feminine,Lage,,feminine,Zahl,,"Was (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:Location,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:populationTotal ?X.},"Welche (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:Location,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:populationTotal ?X.},FALSE,FALSE,,"Gib mir die (xsd:double, X) Gesamteinwohnerzahl von (dbo:Location,Y?) ",,SELECT ?X WHERE { Y dbo:populationTotal ?X.},"die Gesamteinwohnerzahl von (dbo:Location,Y) ",,SELECT ?X WHERE { Y dbo:populationTotal ?X.},
population_of_2,noun,feminine,Gesamteinwohnerzahl,-,Gesamteinwohnerzahl,Gesamteinwohnerzahl,Gesamteinwohnerzahl,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:City,xsd:double,feminine,Stadt,,feminine,Zahl,,"Was (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:City,Y?) ",interrogativePronoun(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:populationTotal ?X.},"Welche (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:City,Y?) ",interrogativeDeterminer(range:singular) verb(component_be:present:singular) nounPhrase?,SELECT ?X WHERE { Y dbo:populationTotal ?X.},FALSE,FALSE,,"Gib mir die (xsd:double, X) Gesamteinwohnerzahl von (dbo:City,Y?) ",,SELECT ?X WHERE { Y dbo:populationTotal ?X.},"die Gesamteinwohnerzahl von (dbo:City,Y) ",,SELECT ?X WHERE { Y dbo:populationTotal ?X.},
